trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Colourcodes,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,StimulusPos,key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Circle1_col,Ecc,Circle2_col,similarity,response_time,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran
0,54,54,87,1,,5f04a16afdd4f90d36b2bee5,62c538d1e433860fd3c36666,2022-07-06_09h25.39.075,Colour_Asymmetry_Pilot,2022.1.3,Win32,58.79931793,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,55,55,16,1,,5f04a16afdd4f90d36b2bee5,62c538d1e433860fd3c36666,2022-07-06_09h25.39.075,Colour_Asymmetry_Pilot,2022.1.3,Win32,58.79931793,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,56,56,19,1,,5f04a16afdd4f90d36b2bee5,62c538d1e433860fd3c36666,2022-07-06_09h25.39.075,Colour_Asymmetry_Pilot,2022.1.3,Win32,58.79931793,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,57,57,15,1,,5f04a16afdd4f90d36b2bee5,62c538d1e433860fd3c36666,2022-07-06_09h25.39.075,Colour_Asymmetry_Pilot,2022.1.3,Win32,58.79931793,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,58,58,6,1,,5f04a16afdd4f90d36b2bee5,62c538d1e433860fd3c36666,2022-07-06_09h25.39.075,Colour_Asymmetry_Pilot,2022.1.3,Win32,58.79931793,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,59,59,40,1,,5f04a16afdd4f90d36b2bee5,62c538d1e433860fd3c36666,2022-07-06_09h25.39.075,Colour_Asymmetry_Pilot,2022.1.3,Win32,58.79931793,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,60,60,90,1,,5f04a16afdd4f90d36b2bee5,62c538d1e433860fd3c36666,2022-07-06_09h25.39.075,Colour_Asymmetry_Pilot,2022.1.3,Win32,58.79931793,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,61,61,81,1,,5f04a16afdd4f90d36b2bee5,62c538d1e433860fd3c36666,2022-07-06_09h25.39.075,Colour_Asymmetry_Pilot,2022.1.3,Win32,58.79931793,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,62,62,11,1,,5f04a16afdd4f90d36b2bee5,62c538d1e433860fd3c36666,2022-07-06_09h25.39.075,Colour_Asymmetry_Pilot,2022.1.3,Win32,58.79931793,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,63,63,41,1,,5f04a16afdd4f90d36b2bee5,62c538d1e433860fd3c36666,2022-07-06_09h25.39.075,Colour_Asymmetry_Pilot,2022.1.3,Win32,58.79931793,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,64,64,72,1,,5f04a16afdd4f90d36b2bee5,62c538d1e433860fd3c36666,2022-07-06_09h25.39.075,Colour_Asymmetry_Pilot,2022.1.3,Win32,58.79931793,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,65,65,37,1,,5f04a16afdd4f90d36b2bee5,62c538d1e433860fd3c36666,2022-07-06_09h25.39.075,Colour_Asymmetry_Pilot,2022.1.3,Win32,58.79931793,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
